Player,Pos,Squad,Comp,npxG,-9999
Takumi Minamino,FWMF,Liverpool,eng Premier League,1.8,f833a830
Youssoufa Moukoko,FW,Dortmund,de Bundesliga,1.8,6ce43701
Jessic Ngankam,FW,Greuther Fürth,de Bundesliga,1.8,bc249af8
Håvard Nielsen,MFFW,Greuther Fürth,de Bundesliga,1.8,b18ef366
Mohammed Salisu,DF,Southampton,eng Premier League,1.8,0b33f6ad
Stefan Savić,DF,Atlético Madrid,es La Liga,1.8,f6ac68c1
Islam Slimani,FW,Lyon,fr Ligue 1,1.8,ffec9769
Lucas Tousart,MF,Hertha BSC,de Bundesliga,1.8,71ec39ef
Christopher Trimmel,DF,Union Berlin,de Bundesliga,1.8,056d2d95
Lucas Vázquez,DF,Real Madrid,es La Liga,1.8,fd51b456
Arturo Vidal,MF,Inter,it Serie A,1.8,67cdbc0e
Daniel Vivian,DF,Athletic Club,es La Liga,1.8,ab7bf91d
Luca Waldschmidt,MFFW,Wolfsburg,de Bundesliga,1.8,e5a35ae9
Daniel Wass,MF,Valencia,es La Liga,1.8,d83bbc54
Xeka,MF,Lille,fr Ligue 1,1.8,f3600c02
Waldemar Anton,DF,Stuttgart,de Bundesliga,1.7,5e66fa06
Toma Bašić,MF,Lazio,it Serie A,1.7,80556f08
Simone Bastoni,MFDF,Spezia,it Serie A,1.7,1ac232b8
Jóhann Berg Guðmundsson,MF,Burnley,eng Premier League,1.7,f72293fc
Mattia Caldara,DF,Venezia,it Serie A,1.7,ac7e640b
José Callejón,FW,Fiorentina,it Serie A,1.7,78841da9
Jesús Corona,FWDF,Sevilla,es La Liga,1.7,fb938d24
Alphonso Davies,DF,Bayern Munich,de Bundesliga,1.7,d781d855
Éderson,MF,Salernitana,it Serie A,1.7,a9202def
Romain Faivre,FWMF,Lyon,fr Ligue 1,1.7,745ca0a3
Willem Geubbels,FWMF,Nantes,fr Ligue 1,1.7,9836e892
Raphaël Guerreiro,DF,Dortmund,de Bundesliga,1.7,048a1cbc
Pape Gueye,MF,Marseille,fr Ligue 1,1.7,7155e3e1
Benjamin Henrichs,DF,RB Leipzig,de Bundesliga,1.7,0a89e877
Alex Iwobi,MFDF,Everton,eng Premier League,1.7,6ca5ec4b
Dennis Johnsen,FWMF,Venezia,it Serie A,1.7,66784dee
Kalidou Koulibaly,DF,Napoli,it Serie A,1.7,da974c7b
Castello Lukeba,DF,Lyon,fr Ligue 1,1.7,5b9512c5
