Rk,Player,Pos,Squad,Comp,90s,CPA
111,Terem Moffi\065dc209,FW,Lorient,fr Ligue 1,30.1,27
112,Arnaud Nordin\7b9a9e25,FWMF,Saint-Étienne,fr Ligue 1,20.8,27
113,Riccardo Sottil\94816803,FW,Fiorentina,it Serie A,13.8,27
114,Davide Zappacosta\7fe90ccd,DF,Atalanta,it Serie A,26.1,27
115,Jonathan Bamba\b2bd0f6c,MFFW,Lille,fr Ligue 1,27.0,26
116,Saïd Benrahma\5a04fd92,FWMF,West Ham,eng Premier League,24.1,26
117,Matty Cash\2389cdc2,DF,Aston Villa,eng Premier League,37.5,26
118,Kévin Gameiro\42276181,FW,Strasbourg,fr Ligue 1,26.5,26
119,Harry Kane\21a66f6a,FW,Tottenham,eng Premier League,35.9,26
120,Daniele Verde\d3298c99,FWMF,Spezia,it Serie A,21.7,26
121,Nedim Bajrami\f42d6c13,MFFW,Empoli,it Serie A,22.8,25
122,Ángel Di María\19cda00b,FW,Paris S-G,fr Ligue 1,18.3,25
123,Jorge de Frutos\38ce1150,MFFW,Levante,es La Liga,19.6,25
124,Anthony Gordon\2bd83368,MFFW,Everton,eng Premier League,25.4,25
125,Theo Hernández\d4c9725f,DF,Milan,it Serie A,30.1,25
126,Wahbi Khazri\2677a1de,FWMF,Saint-Étienne,fr Ligue 1,24.7,25
127,Joshua King\43458538,FW,Watford,eng Premier League,25.0,25
128,Robert Lewandowski\8d78e732,FW,Bayern Munich,de Bundesliga,32.7,25
129,Victor Osimhen\8c90fd7a,FW,Napoli,it Serie A,22.0,25
130,Dimitri Payet\58ae47b2,FWMF,Marseille,fr Ligue 1,28.8,25
131,Lorenzo Pellegrini\4a5a45c7,MFFW,Roma,it Serie A,25.4,25
132,Leroy Sané\2b114be3,FWMF,Bayern Munich,de Bundesliga,22.0,25
133,Raúl de Tomás\02ef8778,FW,Espanyol,es La Liga,32.4,25
134,Jordan Ayew\da052c14,FW,Crystal Palace,eng Premier League,22.4,24
135,Jeremie Boga\fe012aca,FWMF,Atalanta,it Serie A,8.5,24
136,Sofiane Diop\19053e31,MFFW,Monaco,fr Ligue 1,21.6,24
137,Jonas Hofmann\2903a856,MFFW,M'Gladbach,de Bundesliga,23.1,24
138,Solly March\bb5fbd2b,DFFW,Brighton,eng Premier League,19.4,24
139,Daniel Podence\7fcc71d8,FWMF,Wolves,eng Premier League,16.5,24
140,Giacomo Raspadori\6e058f06,MFFW,Sassuolo,it Serie A,30.4,24
141,Ismaila Sarr\bfdb33aa,FWMF,Watford,eng Premier League,20.7,24
142,Timo Werner\49fe9070,FWMF,Chelsea,eng Premier League,14.3,24
143,Tammy Abraham\f586779e,FW,Roma,it Serie A,34.3,23
144,Houssem Aouar\a5db0bec,MFFW,Lyon,fr Ligue 1,27.8,23
145,Nicolò Barella\6928979a,MF,Inter,it Serie A,32.4,23
146,Josip Brekalo\d4a2533d,FWMF,Torino,it Serie A,25.4,23
147,Luis Díaz\4a1a9578,FW,Liverpool,eng Premier League,10.6,23
148,Abdessamad Ezzalzouli\bed68338,FWDF,Barcelona,es La Liga,6.4,23
149,Bruno Fernandes\507c7bdf,MF,Manchester Utd,eng Premier League,34.6,23
